username,text,timestamp,cleaning_text,case_folding,hasil_normalisasi,provider,tokenize,stopward removal
febri.ady.tama,daerah cibinong @axis_id gangguan min dari pagi ga bisa dipakai,4/10/26 11:41 PM,daerah cibinong gangguan min dari pagi ga bisa dipakai,daerah cibinong gangguan min dari pagi ga bisa dipakai,daerah cibinong gangguan min dari pagi tidak bisa dipakai,Axis,"['daerah', 'cibinong', 'gangguan', 'min', 'dari', 'pagi', 'tidak', 'bisa', 'dipakai']",daerah cibinong gangguan pagi dipakai
adtbni,woi lah axis. gua mau login MyBCA gabisa2 gara2 ga dapet kode OTP dari lu. ð—žð—”ð—¥ð—§ð—¨ ð—¦ð—”ð— ð—£ð—”ð—›,4/10/26 11:41 PM,woi lah axis gua mau login MyBCA gabisa2 gara2 ga dapet kode OTP dari lu,woi lah axis gua mau login mybca gabisa2 gara2 ga dapet kode otp dari lu,woi lah axis gua mau login mybca gabisa2 gara2 tidak dapat kode otp dari kamu,Axis,"['woi', 'lah', 'axis', 'gua', 'mau', 'login', 'mybca', 'gabisa2', 'gara2', 'tidak', 'dapat', 'kode', 'otp', 'dari', 'kamu']",axis login mybca gabisa2 gara2 kode otp
ptrsfa.anglna,"mana ini sinyal @axis_id ,syg bnget paket guaa,ngeleg muluu,mana ngga ada info ap ap juga",4/12/26 11:41 PM,mana ini sinyal syg bnget paket guaa ngeleg muluu mana ngga ada info ap ap juga,mana ini sinyal syg bnget paket guaa ngeleg muluu mana ngga ada info ap ap juga,mana ini sinyal sayang banget paket gua ngeleg muluu mana tidak ada info apa apa juga,Axis,"['mana', 'ini', 'sinyal', 'sayang', 'banget', 'paket', 'gua', 'ngeleg', 'muluu', 'mana', 'tidak', 'ada', 'info', 'apa', 'apa', 'juga']",sinyal sayang banget paket ngeleg muluu info
kimbabji.homemade,"Tadi siang udah ke XL Center di Tangcity, pengaduan krn sms banking BCA ga masuk2, ga bs login MyBCA. Katanya udah disetting, nunggu sejam baru hp direstart. Udh dicoba, msh ga bs juga tuh sms banking masuk. Ini solusinya gmn? Gw mau pake bca banking ga bisa coy",4/11/26 11:41 PM,Tadi siang udah ke XL Center di Tangcity pengaduan krn sms banking BCA ga masuk2 ga bs login MyBCA Katanya udah disetting nunggu sejam baru hp direstart Udh dicoba msh ga bs juga tuh sms banking masuk Ini solusinya gmn Gw mau pake bca banking ga bisa coy,tadi siang udah ke xl center di tangcity pengaduan krn sms banking bca ga masuk2 ga bs login mybca katanya udah disetting nunggu sejam baru hp direstart udh dicoba msh ga bs juga tuh sms banking masuk ini solusinya gmn gw mau pake bca banking ga bisa coy,tadi siang sudah ke xl center di tangcity pengaduan karena sms banking baca tidak masuk2 tidak bisa login mybca katanya sudah disetting menunggu sejam baru hp direstart sudah dicoba masih tidak bisa juga tuh sms banking masuk ini solusinya bagaimana gue mau pakai baca banking tidak bisa coy,Axis,"['tadi', 'siang', 'sudah', 'ke', 'xl', 'center', 'di', 'tangcity', 'pengaduan', 'karena', 'sms', 'banking', 'baca', 'tidak', 'masuk2', 'tidak', 'bisa', 'login', 'mybca', 'katanya', 'sudah', 'disetting', 'menunggu', 'sejam', 'baru', 'hp', 'direstart', 'sudah', 'dicoba', 'masih', 'tidak', 'bisa', 'juga', 'tuh', 'sms', 'banking', 'masuk', 'ini', 'solusinya', 'bagaimana', 'gue', 'mau', 'pakai', 'baca', 'banking', 'tidak', 'bisa', 'coy']",siang xl center tangcity pengaduan sms banking baca masuk2 login mybca disetting menunggu sejam hp direstart dicoba sms banking masuk solusinya pakai baca banking coy
ridhopamungkas_26,Bego banget dijakarta sinyal ngeleg,4/13/26 11:41 PM,Bego banget dijakarta sinyal ngeleg,bego banget dijakarta sinyal ngeleg,bego banget dijakarta sinyal ngeleg,Axis,"['bego', 'banget', 'dijakarta', 'sinyal', 'ngeleg']",bego banget dijakarta sinyal ngeleg
wann__810,"ngeleg banget pake kartu axis sumpah, terus suka mati matian data nya, aneh banget, gimana sih axis",4/10/26 11:41 PM,ngeleg banget pake kartu axis sumpah terus suka mati matian data nya aneh banget gimana sih axis,ngeleg banget pake kartu axis sumpah terus suka mati matian data nya aneh banget gimana sih axis,ngeleg banget pakai kartu axis sumpah terus suka mati matian data ya aneh banget bagaimana sih axis,Axis,"['ngeleg', 'banget', 'pakai', 'kartu', 'axis', 'sumpah', 'terus', 'suka', 'mati', 'matian', 'data', 'ya', 'aneh', 'banget', 'bagaimana', 'sih', 'axis']",ngeleg banget pakai kartu axis sumpah suka mati matian data aneh banget axis
sc_rend11,sinyal nya anjg banget pindah Telkom saja,4/13/26 11:41 PM,sinyal nya anjg banget pindah Telkom saja,sinyal nya anjg banget pindah telkom saja,sinyal ya anjg banget pindah telkom saja,Axis,"['sinyal', 'ya', 'anjg', 'banget', 'pindah', 'telkom', 'saja']",sinyal anjg banget pindah telkom
evinurlisa_,"Dear @axis_id Tolong ya kalian lebih wise lagi untuk recycle nomor. Saya beli kartu baru ternyata nomornya masih aktif di pakai orang lain. Karna nomor masih aktif dipakai orang, maka saya hubungi call center resmi kalian. Lalu saya diarahkan keluarkan nomor aktif tersebut dari call center Whatsapp. TERUS SOLUSINYA APAAN INI? ðŸ˜¡",4/10/26 11:41 PM,Dear Tolong ya kalian lebih wise lagi untuk recycle nomor Saya beli kartu baru ternyata nomornya masih aktif di pakai orang lain Karna nomor masih aktif dipakai orang maka saya hubungi call center resmi kalian Lalu saya diarahkan keluarkan nomor aktif tersebut dari call center Whatsapp TERUS SOLUSINYA APAAN INI,dear tolong ya kalian lebih wise lagi untuk recycle nomor saya beli kartu baru ternyata nomornya masih aktif di pakai orang lain karna nomor masih aktif dipakai orang maka saya hubungi call center resmi kalian lalu saya diarahkan keluarkan nomor aktif tersebut dari call center whatsapp terus solusinya apaan ini,dear tolong ya kalian lebih wise lagi untuk recycle nomor saya beli kartu baru ternyata nomornya masih aktif di pakai orang lain karena nomor masih aktif dipakai orang maka saya hubungi call center resmi kalian lalu saya diarahkan keluarkan nomor aktif tersebut dari call center whatsapp terus solusinya apaan ini,Axis,"['dear', 'tolong', 'ya', 'kalian', 'lebih', 'wise', 'lagi', 'untuk', 'recycle', 'nomor', 'saya', 'beli', 'kartu', 'baru', 'ternyata', 'nomornya', 'masih', 'aktif', 'di', 'pakai', 'orang', 'lain', 'karena', 'nomor', 'masih', 'aktif', 'dipakai', 'orang', 'maka', 'saya', 'hubungi', 'call', 'center', 'resmi', 'kalian', 'lalu', 'saya', 'diarahkan', 'keluarkan', 'nomor', 'aktif', 'tersebut', 'dari', 'call', 'center', 'whatsapp', 'terus', 'solusinya', 'apaan', 'ini']",dear tolong wise recycle nomor beli kartu nomornya aktif pakai orang nomor aktif dipakai orang hubungi call center resmi diarahkan keluarkan nomor aktif call center whatsapp solusinya
luthfiasaris,Axis sama sekali gak jalan internetnya. Padahal sinyal full dan baru diisi paketnya. Ini bakal sampe kapan ya?,4/11/26 11:41 PM,Axis sama sekali gak jalan internetnya Padahal sinyal full dan baru diisi paketnya Ini bakal sampe kapan ya,axis sama sekali gak jalan internetnya padahal sinyal full dan baru diisi paketnya ini bakal sampe kapan ya,axis sama sekali tidak jalan internetnya padahal sinyal full dan baru diisi paketnya ini bakal sampai kapan ya,Axis,"['axis', 'sama', 'sekali', 'tidak', 'jalan', 'internetnya', 'padahal', 'sinyal', 'full', 'dan', 'baru', 'diisi', 'paketnya', 'ini', 'bakal', 'sampai', 'kapan', 'ya']",axis jalan internetnya sinyal full diisi paketnya
tii_mukti,Kocak sinyal kaga ada mulu ini gmna sih axis,4/13/26 11:41 PM,Kocak sinyal kaga ada mulu ini gmna sih axis,kocak sinyal kaga ada mulu ini gmna sih axis,kocak sinyal kagak ada mulu ini bagaimana sih axis,Axis,"['kocak', 'sinyal', 'kagak', 'ada', 'mulu', 'ini', 'bagaimana', 'sih', 'axis']",kocak sinyal kagak mulu axis
yassz_147,WOY JARINGAN NYA BNERIN LAH DAH MAU SEMINGGU BELI KUOTA HA GUNA INI @axis_id,4/13/26 11:41 PM,WOY JARINGAN NYA BNERIN LAH DAH MAU SEMINGGU BELI KUOTA HA GUNA INI,woy jaringan nya bnerin lah dah mau seminggu beli kuota ha guna ini,woy jaringan ya bnerin lah sudah mau seminggu beli kuota ha guna ini,Axis,"['woy', 'jaringan', 'ya', 'bnerin', 'lah', 'sudah', 'mau', 'seminggu', 'beli', 'kuota', 'ha', 'guna', 'ini']",jaringan bnerin seminggu beli kuota ha
rofykasyep,kocak jaringan lu tiba' ilang haduh,4/11/26 11:41 PM,kocak jaringan lu tiba ilang haduh,kocak jaringan lu tiba ilang haduh,kocak jaringan kamu tiba hilang aduh,Axis,"['kocak', 'jaringan', 'kamu', 'tiba', 'hilang', 'aduh']",kocak jaringan hilang aduh
yusup_ibrahim26,Penyakit Axis gila datang lagi,4/14/26 11:41 PM,Penyakit Axis gila datang lagi,penyakit axis gila datang lagi,penyakit axis gila datang lagi,Axis,"['penyakit', 'axis', 'gila', 'datang', 'lagi']",penyakit axis gila
empova90,"Jaringan axis udh kek kntl sekarang, mending kalian semua ganti lartu aja udh, jngn pake axis lagi",4/13/26 11:41 PM,Jaringan axis udh kek kntl sekarang mending kalian semua ganti lartu aja udh jngn pake axis lagi,jaringan axis udh kek kntl sekarang mending kalian semua ganti lartu aja udh jngn pake axis lagi,jaringan axis sudah kayak kntl sekarang mending kalian semua ganti lartu saja sudah jangan pakai axis lagi,Axis,"['jaringan', 'axis', 'sudah', 'kayak', 'kntl', 'sekarang', 'mending', 'kalian', 'semua', 'ganti', 'lartu', 'saja', 'sudah', 'jangan', 'pakai', 'axis', 'lagi']",jaringan axis kayak kntl ganti lartu pakai axis
agtftrmdhn_15,"Admin lu mana sini anj, sinyal lu ngadad banget pntk",4/15/26 3:41 PM,Admin lu mana sini anj sinyal lu ngadad banget pntk,admin lu mana sini anj sinyal lu ngadad banget pntk,admin kamu mana sini anjing sinyal kamu ngadad banget pntk,Axis,"['admin', 'kamu', 'mana', 'sini', 'anjing', 'sinyal', 'kamu', 'ngadad', 'banget', 'pntk']",admin sinyal ngadad banget pntk
febuary916,Normal nya aja kalau main game nglag,4/15/26 11:41 AM,Normal nya aja kalau main game nglag,normal nya aja kalau main game nglag,normal ya saja kalau main game nglag,Axis,"['normal', 'ya', 'saja', 'kalau', 'main', 'game', 'nglag']",normal main game nglag
livita.__,Sinyalku hilang mau sebulan minðŸ˜¢,4/15/26 9:41 AM,Sinyalku hilang mau sebulan min,sinyalku hilang mau sebulan min,sinyalku hilang mau sebulan min,Axis,"['sinyalku', 'hilang', 'mau', 'sebulan', 'min']",sinyalku hilang sebulan
anina_719,"Ternyata bukan cuma aku yang 1 minggu ini axis seret banget sinyal, dan hari ini benerÂ² ga ada sinyal sama sekali ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­.. kenapaaaaaa? @axis_id",4/15/26 7:41 AM,Ternyata bukan cuma aku yang 1 minggu ini axis seret banget sinyal dan hari ini bener ga ada sinyal sama sekali kenapa,ternyata bukan cuma aku yang 1 minggu ini axis seret banget sinyal dan hari ini bener ga ada sinyal sama sekali kenapa,ternyata bukan cuma aku yang 1 minggu ini axis seret banget sinyal dan hari ini benar tidak ada sinyal sama sekali kenapa,Axis,"['ternyata', 'bukan', 'cuma', 'aku', 'yang', '1', 'minggu', 'ini', 'axis', 'seret', 'banget', 'sinyal', 'dan', 'hari', 'ini', 'benar', 'tidak', 'ada', 'sinyal', 'sama', 'sekali', 'kenapa']",1 minggu axis seret banget sinyal sinyal
ezarrizkii,udah seminggu lebih ya ini masih belum ada perbaikan?,4/15/26 6:41 AM,udah seminggu lebih ya ini masih belum ada perbaikan,udah seminggu lebih ya ini masih belum ada perbaikan,sudah seminggu lebih ya ini masih belum ada perbaikan,Axis,"['sudah', 'seminggu', 'lebih', 'ya', 'ini', 'masih', 'belum', 'ada', 'perbaikan']",seminggu perbaikan
yusup_ibrahim26,Ada yang tau dimana kantor Axis,4/15/26 6:41 AM,Ada yang tau dimana kantor Axis,ada yang tau dimana kantor axis,ada yang tau dimana kantor axis,Axis,"['ada', 'yang', 'tau', 'dimana', 'kantor', 'axis']",tau dimana kantor axis
zauzi._,"sinyal ilank mlu amjinkk, ngerjain tugas di hp keganggu terus, bikin emosi aja ntol!!",4/15/26 5:41 AM,sinyal ilank mlu amjinkk ngerjain tugas di hp keganggu terus bikin emosi aja ntol,sinyal ilank mlu amjinkk ngerjain tugas di hp keganggu terus bikin emosi aja ntol,sinyal ilank melulu amjinkk ngerjain tugas di hp keganggu terus bikin emosi saja ntol,Axis,"['sinyal', 'ilank', 'melulu', 'amjinkk', 'ngerjain', 'tugas', 'di', 'hp', 'keganggu', 'terus', 'bikin', 'emosi', 'saja', 'ntol']",sinyal ilank melulu amjinkk ngerjain tugas hp keganggu bikin emosi ntol
talsyy,Kak mohon bantuan reaktivasi kartu dong,4/15/26 5:41 AM,Kak mohon bantuan reaktivasi kartu dong,kak mohon bantuan reaktivasi kartu dong,kak mohon bantuan reaktivasi kartu dong,Axis,"['kak', 'mohon', 'bantuan', 'reaktivasi', 'kartu', 'dong']",mohon bantuan reaktivasi kartu
zeedvid,jaringan kelen perbaiki lah tol,4/14/26 11:41 PM,jaringan kelen perbaiki lah tol,jaringan kelen perbaiki lah tol,jaringan kelen perbaiki lah tol,Axis,"['jaringan', 'kelen', 'perbaiki', 'lah', 'tol']",jaringan kelen perbaiki tol
jodyprasetya21,"lagi musim hujan , sekalinya ada geludug jaringan langsung hilang ðŸ˜‚ðŸ˜‚",4/14/26 11:41 PM,lagi musim hujan sekalinya ada geludug jaringan langsung hilang,lagi musim hujan sekalinya ada geludug jaringan langsung hilang,lagi musim hujan sekalinya ada geludug jaringan langsung hilang,Axis,"['lagi', 'musim', 'hujan', 'sekalinya', 'ada', 'geludug', 'jaringan', 'langsung', 'hilang']",musim hujan sekalinya geludug jaringan langsung hilang
whoseliaaa,tolong perbaiki lagi min gabisa masukin kode OTP,4/14/26 11:41 PM,tolong perbaiki lagi min gabisa masukin kode OTP,tolong perbaiki lagi min gabisa masukin kode otp,tolong perbaiki lagi min tidak bisa memasuki kode otp,Axis,"['tolong', 'perbaiki', 'lagi', 'min', 'tidak', 'bisa', 'memasuki', 'kode', 'otp']",tolong perbaiki memasuki kode otp
kimbabji.homemade,"Tadi siang udah ke XL Center di Tangcity, pengaduan krn sms banking BCA ga masuk2, ga bs login MyBCA. Katanya udah disetting, nunggu sejam baru hp direstart. Udh dicoba, msh ga bs juga tuh sms banking masuk. Ini solusinya gmn? Gw mau pake bca banking ga bisa coy",4/11/26 11:41 PM,Tadi siang udah ke XL Center di Tangcity pengaduan krn sms banking BCA ga masuk2 ga bs login MyBCA Katanya udah disetting nunggu sejam baru hp direstart Udh dicoba msh ga bs juga tuh sms banking masuk Ini solusinya gmn Gw mau pake bca banking ga bisa coy,tadi siang udah ke xl center di tangcity pengaduan krn sms banking bca ga masuk2 ga bs login mybca katanya udah disetting nunggu sejam baru hp direstart udh dicoba msh ga bs juga tuh sms banking masuk ini solusinya gmn gw mau pake bca banking ga bisa coy,tadi siang sudah ke xl center di tangcity pengaduan karena sms banking baca tidak masuk2 tidak bisa login mybca katanya sudah disetting menunggu sejam baru hp direstart sudah dicoba masih tidak bisa juga tuh sms banking masuk ini solusinya bagaimana gue mau pakai baca banking tidak bisa coy,Axis,"['tadi', 'siang', 'sudah', 'ke', 'xl', 'center', 'di', 'tangcity', 'pengaduan', 'karena', 'sms', 'banking', 'baca', 'tidak', 'masuk2', 'tidak', 'bisa', 'login', 'mybca', 'katanya', 'sudah', 'disetting', 'menunggu', 'sejam', 'baru', 'hp', 'direstart', 'sudah', 'dicoba', 'masih', 'tidak', 'bisa', 'juga', 'tuh', 'sms', 'banking', 'masuk', 'ini', 'solusinya', 'bagaimana', 'gue', 'mau', 'pakai', 'baca', 'banking', 'tidak', 'bisa', 'coy']",siang xl center tangcity pengaduan sms banking baca masuk2 login mybca disetting menunggu sejam hp direstart dicoba sms banking masuk solusinya pakai baca banking coy
rofykasyep,kocak jaringan lu tiba' ilang haduh,4/11/26 11:41 PM,kocak jaringan lu tiba ilang haduh,kocak jaringan lu tiba ilang haduh,kocak jaringan kamu tiba hilang aduh,Axis,"['kocak', 'jaringan', 'kamu', 'tiba', 'hilang', 'aduh']",kocak jaringan hilang aduh
an.iicaa,"Aku nyobain pake axis. Beli kuota 16 gb, beli tanggal 8 maret tanggal 9 maret habissss Gila! Padahal pemakaian biasa aja, buka tiktok juga gak seharian, gila banget pokoknyaðŸ˜­",4/11/26 11:41 PM,Aku nyobain pake axis Beli kuota 16 gb beli tanggal 8 maret tanggal 9 maret habis Gila Padahal pemakaian biasa aja buka tiktok juga gak seharian gila banget pokoknya,aku nyobain pake axis beli kuota 16 gb beli tanggal 8 maret tanggal 9 maret habis gila padahal pemakaian biasa aja buka tiktok juga gak seharian gila banget pokoknya,aku mencoba pakai axis beli kuota 16 gb beli tanggal 8 maret tanggal 9 maret habis gila padahal pemakaian biasa saja buka tiktok juga tidak seharian gila banget pokoknya,Axis,"['aku', 'mencoba', 'pakai', 'axis', 'beli', 'kuota', '16', 'gb', 'beli', 'tanggal', '8', 'maret', 'tanggal', '9', 'maret', 'habis', 'gila', 'padahal', 'pemakaian', 'biasa', 'saja', 'buka', 'tiktok', 'juga', 'tidak', 'seharian', 'gila', 'banget', 'pokoknya']",mencoba pakai axis beli kuota 16 gb beli tanggal 8 maret tanggal 9 maret habis gila pemakaian buka tiktok seharian gila banget pokoknya
ezarrizkii,Seminggu sudah di Bogor jaringan nya kaya gini wkwkw ga di cek lagi tuh yakin?,4/11/26 11:41 PM,Seminggu sudah di Bogor jaringan nya kaya gini wkwkw ga di cek lagi tuh yakin,seminggu sudah di bogor jaringan nya kaya gini wkwkw ga di cek lagi tuh yakin,seminggu sudah di bogor jaringan ya kayak begini wkwkw tidak di cek lagi tuh yakin,Axis,"['seminggu', 'sudah', 'di', 'bogor', 'jaringan', 'ya', 'kayak', 'begini', 'wkwkw', 'tidak', 'di', 'cek', 'lagi', 'tuh', 'yakin']",seminggu bogor jaringan kayak wkwkw
ahokmancing,"Woi kampang, gua beli paketan ga masuk.. maksudnya apa !! Duit gua dah kepotong",4/11/26 11:41 PM,Woi kampang gua beli paketan ga masuk maksudnya apa Duit gua dah kepotong,woi kampang gua beli paketan ga masuk maksudnya apa duit gua dah kepotong,woi kampang gua beli paketan tidak masuk maksudnya apa duit gua sudah kepotong,Axis,"['woi', 'kampang', 'gua', 'beli', 'paketan', 'tidak', 'masuk', 'maksudnya', 'apa', 'duit', 'gua', 'sudah', 'kepotong']",kampang beli paketan masuk maksudnya duit kepotong
xvxvxv._.xv,Udah bberapa hari ini ga ada jaringan sama sekali why??? @axis_id,4/10/26 11:41 PM,Udah bberapa hari ini ga ada jaringan sama sekali why,udah bberapa hari ini ga ada jaringan sama sekali why,sudah bberapa hari ini tidak ada jaringan sama sekali why,Axis,"['sudah', 'bberapa', 'hari', 'ini', 'tidak', 'ada', 'jaringan', 'sama', 'sekali', 'why']",bberapa jaringan why
yaannzze,"minnn oooyyy warney 24 jam guaaa kenapaaa gabisaaa di pakeee jirr, pas bukaaa yt, tt, ig, game, wa atau apapun itu gabisa kayak gada kuota nya gangguan? atau ada masalah lain, chat cs di apk sama web ga gunaaaa jawaban nya asal + template itu itu aja",4/10/26 11:41 PM,min oy warney 24 jam gua kenapa gabisa di pake jirr pas buka yt tt ig game wa atau apapun itu gabisa kayak gada kuota nya gangguan atau ada masalah lain chat cs di apk sama web ga guna jawaban nya asal template itu itu aja,min oy warney 24 jam gua kenapa gabisa di pake jirr pas buka yt tt ig game wa atau apapun itu gabisa kayak gada kuota nya gangguan atau ada masalah lain chat cs di apk sama web ga guna jawaban nya asal template itu itu aja,min oy warney 24 jam gua kenapa tidak bisa di pakai anjir pas buka yt tt ig game wa atau apapun itu tidak bisa kayak tidak ada kuota ya gangguan atau ada masalah lain chat cs di apk sama web tidak guna jawaban ya asal template itu itu saja,Axis,"['min', 'oy', 'warney', '24', 'jam', 'gua', 'kenapa', 'tidak', 'bisa', 'di', 'pakai', 'anjir', 'pas', 'buka', 'yt', 'tt', 'ig', 'game', 'wa', 'atau', 'apapun', 'itu', 'tidak', 'bisa', 'kayak', 'tidak', 'ada', 'kuota', 'ya', 'gangguan', 'atau', 'ada', 'masalah', 'lain', 'chat', 'cs', 'di', 'apk', 'sama', 'web', 'tidak', 'guna', 'jawaban', 'ya', 'asal', 'template', 'itu', 'itu', 'saja']",oy warney 24 jam pakai anjir pas buka yt tt ig game wa apapun kayak kuota gangguan chat cs apk web template
fajar.ramadhan.2509.1421,"5.BOOSTR SOSMED 1GB 1hr LO, Rp 1400, Channel: Axisnet, Status: Success.... TAPI BELUM ADA SMS KONFIRMASI BELUM MASUK",4/10/26 11:41 PM,5 BOOSTR SOSMED 1GB 1hr LO Rp 1400 Channel Axisnet Status Success TAPI BELUM ADA SMS KONFIRMASI BELUM MASUK,5 boostr sosmed 1gb 1hr lo rp 1400 channel axisnet status success tapi belum ada sms konfirmasi belum masuk,5 boostr sosmed 1gb 1hr lo rp 1400 channel axisnet status success tapi belum ada sms konfirmasi belum masuk,Axis,"['5', 'boostr', 'sosmed', '1gb', '1hr', 'lo', 'rp', '1400', 'channel', 'axisnet', 'status', 'success', 'tapi', 'belum', 'ada', 'sms', 'konfirmasi', 'belum', 'masuk']",5 boostr sosmed 1gb 1hr lo rp 1400 channel axisnet status success sms konfirmasi masuk
adtbni,woi lah axis. gua mau login MyBCA gabisa2 gara2 ga dapet kode OTP dari lu. ð—žð—”ð—¥ð—§ð—¨ ð—¦ð—”ð— ð—£ð—”ð—›,4/10/26 11:41 PM,woi lah axis gua mau login MyBCA gabisa2 gara2 ga dapet kode OTP dari lu,woi lah axis gua mau login mybca gabisa2 gara2 ga dapet kode otp dari lu,woi lah axis gua mau login mybca gabisa2 gara2 tidak dapat kode otp dari kamu,Axis,"['woi', 'lah', 'axis', 'gua', 'mau', 'login', 'mybca', 'gabisa2', 'gara2', 'tidak', 'dapat', 'kode', 'otp', 'dari', 'kamu']",axis login mybca gabisa2 gara2 kode otp
rizzforyouuu,GADA KLARIF APA APA SINYAL INI WOI UD 3 HARI ILANGG GIMANA INI!!,4/10/26 11:41 PM,GADA KLARIF APA APA SINYAL INI WOI UD 3 HARI ILANGG GIMANA INI,gada klarif apa apa sinyal ini woi ud 3 hari ilangg gimana ini,tidak ada klarif apa apa sinyal ini woi sudah 3 hari ilangg bagaimana ini,Axis,"['tidak', 'ada', 'klarif', 'apa', 'apa', 'sinyal', 'ini', 'woi', 'sudah', '3', 'hari', 'ilangg', 'bagaimana', 'ini']",klarif sinyal 3 ilangg
rizzforyouuu,SINYAL SINYAL WOII BENERINNNNNNN GAJELASS BETT,4/10/26 11:41 PM,SINYAL SINYAL WOII BENERIN GAJELASS BETT,sinyal sinyal woii benerin gajelass bett,sinyal sinyal woii benerin gajelass bett,Axis,"['sinyal', 'sinyal', 'woii', 'benerin', 'gajelass', 'bett']",sinyal sinyal woii benerin gajelass bett
secc_mila_dua,cek sinyal daerah bangka belitung @axis_id,4/10/26 11:41 PM,cek sinyal daerah bangka belitung,cek sinyal daerah bangka belitung,cek sinyal daerah bangka belitung,Axis,"['cek', 'sinyal', 'daerah', 'bangka', 'belitung']",sinyal daerah bangka belitung
verzy_al,kalo lagi ada gangguan kasi tau lah minimal @axis_id,4/10/26 11:41 PM,kalo lagi ada gangguan kasi tau lah minimal,kalo lagi ada gangguan kasi tau lah minimal,kalau lagi ada gangguan kasih tau lah minimal,Axis,"['kalau', 'lagi', 'ada', 'gangguan', 'kasih', 'tau', 'lah', 'minimal']",gangguan kasih tau minimal
ridwan.batman,"barusan saya isi pulsa utk no. A dan B axis saya masing2 senilai 25rb karena tgl 12 bsk masa aktif keduanys sama2 abis pada tgl tsb, yg jadi pertanyaan setelah diisi kok bisa beda min @axis_id @myxlcare penambahan masa aktifnya (no.A sampe 4 may, no.B masa cuma 19 aprl)? apa gak salah harus serandom itu",4/10/26 11:41 PM,barusan saya isi pulsa utk no A dan B axis saya masing2 senilai 25rb karena tgl 12 bsk masa aktif keduanys sama2 abis pada tgl tsb yg jadi pertanyaan setelah diisi kok bisa beda min penambahan masa aktifnya no A sampe 4 may no B masa cuma 19 aprl apa gak salah harus serandom itu,barusan saya isi pulsa utk no a dan b axis saya masing2 senilai 25rb karena tgl 12 bsk masa aktif keduanys sama2 abis pada tgl tsb yg jadi pertanyaan setelah diisi kok bisa beda min penambahan masa aktifnya no a sampe 4 may no b masa cuma 19 aprl apa gak salah harus serandom itu,barusan saya isi pulsa untuk no a dan b axis saya masing2 senilai 25rb karena tanggal 12 besok masa aktif keduanys sama2 habis pada tanggal tersebut yang jadi pertanyaan setelah diisi kok bisa beda min penambahan masa aktifnya no a sampai 4 mau no b masa cuma 19 aprl apa tidak salah harus serandom itu,Axis,"['barusan', 'saya', 'isi', 'pulsa', 'untuk', 'no', 'a', 'dan', 'b', 'axis', 'saya', 'masing2', 'senilai', '25rb', 'karena', 'tanggal', '12', 'besok', 'masa', 'aktif', 'keduanys', 'sama2', 'habis', 'pada', 'tanggal', 'tersebut', 'yang', 'jadi', 'pertanyaan', 'setelah', 'diisi', 'kok', 'bisa', 'beda', 'min', 'penambahan', 'masa', 'aktifnya', 'no', 'a', 'sampai', '4', 'mau', 'no', 'b', 'masa', 'cuma', '19', 'aprl', 'apa', 'tidak', 'salah', 'harus', 'serandom', 'itu']",barusan isi pulsa no a b axis masing2 senilai 25rb tanggal 12 besok aktif keduanys sama2 habis tanggal diisi beda penambahan aktifnya no a 4 no b 19 aprl salah serandom
wann__810,"ngeleg banget pake kartu axis sumpah, terus suka mati matian data nya, aneh banget, gimana sih axis",4/10/26 11:41 PM,ngeleg banget pake kartu axis sumpah terus suka mati matian data nya aneh banget gimana sih axis,ngeleg banget pake kartu axis sumpah terus suka mati matian data nya aneh banget gimana sih axis,ngeleg banget pakai kartu axis sumpah terus suka mati matian data ya aneh banget bagaimana sih axis,Axis,"['ngeleg', 'banget', 'pakai', 'kartu', 'axis', 'sumpah', 'terus', 'suka', 'mati', 'matian', 'data', 'ya', 'aneh', 'banget', 'bagaimana', 'sih', 'axis']",ngeleg banget pakai kartu axis sumpah suka mati matian data aneh banget axis
azkahasanidris,Min lagi di saudi kok roaming nya gak ada sinyal.. Barusan beli lagi kirain buat pastiin eh sama aja,4/10/26 11:41 PM,Min lagi di saudi kok roaming nya gak ada sinyal Barusan beli lagi kirain buat pastiin eh sama aja,min lagi di saudi kok roaming nya gak ada sinyal barusan beli lagi kirain buat pastiin eh sama aja,min lagi di saudi kok roaming ya tidak ada sinyal barusan beli lagi mengira buat pastiin eh sama saja,Axis,"['min', 'lagi', 'di', 'saudi', 'kok', 'roaming', 'ya', 'tidak', 'ada', 'sinyal', 'barusan', 'beli', 'lagi', 'mengira', 'buat', 'pastiin', 'eh', 'sama', 'saja']",saudi roaming sinyal barusan beli pastiin
dumpscretf,Min masih gangguan nih kenapa,4/10/26 11:41 PM,Min masih gangguan nih kenapa,min masih gangguan nih kenapa,min masih gangguan nih kenapa,Axis,"['min', 'masih', 'gangguan', 'nih', 'kenapa']",gangguan
syahrialdi_378,"Tolong lah, sinyalnya di perbaiki",4/10/26 11:41 PM,Tolong lah sinyalnya di perbaiki,tolong lah sinyalnya di perbaiki,tolong lah sinyalnya di perbaiki,Axis,"['tolong', 'lah', 'sinyalnya', 'di', 'perbaiki']",tolong sinyalnya perbaiki
